Country Name,Country Code,Series Name,Series Code,Year,Value
El Salvador,SLV,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
El Salvador,SLV,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,46.3467829880044
El Salvador,SLV,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Ethiopia,ETH,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Ethiopia,ETH,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Ethiopia,ETH,Oil,EG.ELC.PETR.ZS,1973.0,43.6548223350254
Ethiopia,ETH,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,56.3451776649746
Ethiopia,ETH,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Ethiopia,ETH,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,43.6548223350254
Ethiopia,ETH,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Finland,FIN,Coal,EG.ELC.COAL.ZS,1973.0,28.0706459275151
Finland,FIN,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Finland,FIN,Oil,EG.ELC.PETR.ZS,1973.0,31.6450846678415
Finland,FIN,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,40.2842694046433
Finland,FIN,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Finland,FIN,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,59.7157305953567
Finland,FIN,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
France,FRA,Coal,EG.ELC.COAL.ZS,1973.0,19.6572205054025
France,FRA,Natural Gas,EG.ELC.NGAS.ZS,1973.0,5.52852477699608
France,FRA,Oil,EG.ELC.PETR.ZS,1973.0,40.1691980625507
France,FRA,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,26.1292655664409
France,FRA,Nuclear,EG.ELC.NUCL.ZS,1973.0,8.07690621780963
France,FRA,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,65.3549433449493
France,FRA,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.438884870800184
Gabon,GAB,Coal,EG.ELC.COAL.ZS,1973.0,0.0
Gabon,GAB,Natural Gas,EG.ELC.NGAS.ZS,1973.0,0.0
Gabon,GAB,Oil,EG.ELC.PETR.ZS,1973.0,96.969696969697
Gabon,GAB,Hydroelectric,EG.ELC.HYRO.ZS,1973.0,3.03030303030303
Gabon,GAB,Nuclear,EG.ELC.NUCL.ZS,1973.0,0.0
Gabon,GAB,Fossil Fuels,EG.ELC.FOSL.ZS,1973.0,96.969696969697
Gabon,GAB,Renewable (excl. Hydro),EG.ELC.RNWX.ZS,1973.0,0.0
Germany,DEU,Coal,EG.ELC.COAL.ZS,1973.0,69.0035047228277
Germany,DEU,Natural Gas,EG.ELC.NGAS.ZS,1973.0,10.9394366799162
